ID,Tipo,COD,Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterna,Testo del pulsante,Posizione,Variation Gallery,Swatches Attributes,Attributo 1 nome,Attributo 1 valuta(e),Attributo 1 visibile,Attributo 1 globale,Attributo 2 nome,Attributo 2 valuta(e),Attributo 2 visibile,Attributo 2 globale,Attributo 3 nome,Attributo 3 valuta(e),Attributo 3 visibile,Attributo 3 globale,Attributo 4 nome,Attributo 4 valuta(e),Attributo 4 visibile,Attributo 4 globale,Attributo 5 nome,Attributo 5 valuta(e),Attributo 5 visibile,Attributo 5 globale,Attributo 6 nome,Attributo 6 valuta(e),Attributo 6 visibile,Attributo 6 globale,Attributo 7 nome,Attributo 7 valuta(e),Attributo 7 visibile,Attributo 7 globale,Attributo 8 nome,Attributo 8 valuta(e),Attributo 8 visibile,Attributo 8 globale,Attributo 9 nome,Attributo 9 valuta(e),Attributo 9 visibile,Attributo 9 globale,Attributo 10 nome,Attributo 10 valuta(e),Attributo 10 visibile,Attributo 10 globale,Attributo 11 nome,Attributo 11 valuta(e),Attributo 11 visibile,Attributo 11 globale,Attributo 12 nome,Attributo 12 valuta(e),Attributo 12 visibile,Attributo 12 globale,Attributo 13 nome,Attributo 13 valuta(e),Attributo 13 visibile,Attributo 13 globale,Attributo 14 nome,Attributo 14 valuta(e),Attributo 14 visibile,Attributo 14 globale
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Robinia",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/b29b-17711s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/1771c12e1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,130 cm,1,1,Larghezza,17 cm,1,1,Altezza Totale,116 cm,1,1,Età,1 - 8 years,1,1,Numero di Utenti,13,1,1,Zona di Sicurezza,"11,7 m2",1,1,Altezza di Caduta Libera,<60 cm,1,1,Altezza delle piattaforme,1176-1:2017,1,0,Altezza piattaforma scorrevole,30 kg,1,0,In conformità alla norma EN,165x8x8 cm,1,1,Peso della parte più pesante,74 kg,1,1,Dimensioni della parte più grande,2 ore,1,0,Materiale,"HPL, Legno Acacia",1,1,Tempo di installazione,7 ore,1,1

5626,simple,,SOLO 1772,1,1,visible,"La serie ROBINIA è un attrezzatura da gioco realizzata con materiale naturale - il legno di Robinia, proveniente dall'acacia, il legno più resistente trovato in Europa. Il legno è caratterizzato da colori naturali e vivaci, ha un'alta resistenza alle intemperie, non richiede impregnazione e può essere ancorato direttamente nel terreno.
\n
\nLa serie unica di Robinia è stata progettata in modo completo per consentire la creazione di un'offerta contenente tutti i tipi di attrezzature da gioco: dai set a torre con molti elementi da arrampicata, passando per cavalcabili a molla, giostrine e altalene, fino all'architettura di piccole dimensioni.
\n
\nI prodotti della serie in legno, arricchiti con scivoli, corrimano e scale in acciaio inossidabile, e elementi realizzati con lastre HPL in colori sobri, sono un'ottima estensione dell'offerta che consente la progettazione di un parco giochi naturale per bambini di tutte le età.","<strong>Specifiche dei materiali</strong>
\n<ul>
\n 	<li>Costruzione realizzata in Robinia - legno di acacia molto resistente con un diametro di circa 18 cm senza spigoli vivi, resistente alle condizioni atmosferiche,</li>
\n 	<li>Piattaforme realizzate in Robinia - legno di acacia molto resistente, resistente alle condizioni atmosferiche,</li>
\n 	<li>Pannelli trasparenti in policarbonato resistenti alle condizioni atmosferiche,</li>
\n 	<li>Pannelli laterali realizzati in Robinia - legno di acacia molto resistente senza spigoli vivi, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile,</li>
\n 	<li>Elementi colorati realizzati in resistente lamiera HPL, resistente alle condizioni atmosferiche,</li>
\n 	<li>Telescopio realizzato in acciaio inossidabile e resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>"" Telefono "" - struttura - tubo in acciaio inossidabile, fiori realizzati in lamiera HPL; installazione sotterranea in plastica,</li>
\n 	<li>Passaggio a doppia parete in tubo di polipropilene,</li>
\n 	<li>Catene calibrate in acciaio inossidabile, per prevenire il rischio di intrappolamento delle dita,</li>
\n 	<li>Corrimano in acciaio inossidabile,</li>
\n 	<li>Maniglie realizzate in corda d'acciaio con intreccio in polipropilene,</li>
\n 	<li>Viti coperte da tappi in plastica e/o viti in acciaio inossidabile,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata a parchi giochi pubblici;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo o fessura che possa rappresentare un pericolo di colpire la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondo 80/70/60 cm;</li>
\n 	<li>lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>il rendering è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Robinia",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2024/01/6ee3-17721s.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,137 cm,1,1,Larghezza,77 cm,1,1,Altezza Totale,206 cm,1,1,Età,1 - 8 years,1,1,Numero di Utenti,13,1,1,Zona di Sicurezza,"12,5 m2",1,1,Altezza di Caduta Libera,<60 cm,1,1,Altezza delle piattaforme,1176-1:2017,1,0,Altezza piattaforma scorrevole,6 kg,1,0,In conformità alla norma EN,255x8x8 cm,1,1,Peso della parte più pesante,74 kg,1,1,Dimensioni della parte più grande,1 ore,1,0,Materiale,"HPL, Legno Acacia",1,1,Tempo di installazione,7 ore,1,1

5627,simple,,SOLO 1720,1,1,visible,"La serie ROBINIA è un attrezzatura da gioco realizzata con materiale naturale - il legno di Robinia, proveniente dall'acacia, il legno più resistente trovato in Europa. Il legno è caratterizzato da colori naturali e vivaci, ha un'alta resistenza alle intemperie, non richiede impregnazione e può essere ancorato direttamente nel terreno.
\n
\nLa serie unica di Robinia è stata progettata in modo completo per consentire la creazione di un'offerta contenente tutti i tipi di attrezzature da gioco: dai set a torre con molti elementi da arrampicata, passando per cavalcabili a molla, giostrine e altalene, fino all'architettura di piccole dimensioni.
\n
\nI prodotti della serie in legno, arricchiti con scivoli, corrimano e scale in acciaio inossidabile, e elementi realizzati con lastre HPL in colori sobri, sono un'ottima estensione dell'offerta che consente la progettazione di un parco giochi naturale per bambini di tutte le età.","<strong>Specifiche dei materiali</strong>
\n<ul>
\n 	<li>Costruzione realizzata in Robinia - legno di acacia molto resistente con un diametro di circa 18 cm senza spigoli vivi, resistente alle condizioni atmosferiche,</li>
\n 	<li>Piattaforme realizzate in Robinia - legno di acacia molto resistente, resistente alle condizioni atmosferiche,</li>
\n 	<li>Pannelli trasparenti in policarbonato resistenti alle condizioni atmosferiche,</li>
\n 	<li>Pannelli laterali realizzati in Robinia - legno di acacia molto resistente senza spigoli vivi, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile,</li>
\n 	<li>Elementi colorati realizzati in resistente lamiera HPL, resistente alle condizioni atmosferiche,</li>
\n 	<li>Telescopio realizzato in acciaio inossidabile e resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>"" Telefono "" - struttura - tubo in acciaio inossidabile, fiori realizzati in lamiera HPL; installazione sotterranea in plastica,</li>
\n 	<li>Passaggio a doppia parete in tubo di polipropilene,</li>
\n 	<li>Catene calibrate in acciaio inossidabile, per prevenire il rischio di intrappolamento delle dita,</li>
\n 	<li>Corrimano in acciaio inossidabile,</li>
\n 	<li>Maniglie realizzate in corda d'acciaio con intreccio in polipropilene,</li>
\n 	<li>Viti coperte da tappi in plastica e/o viti in acciaio inossidabile,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata a parchi giochi pubblici;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo o fessura che possa rappresentare un pericolo di colpire la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondo 80/70/60 cm;</li>
\n 	<li>lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>il rendering è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Robinia",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2024/01/8af3-17201s.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,240 cm,1,1,Larghezza,77 cm,1,1,Altezza Totale,206 cm,1,1,Età,1 - 8 years,1,1,Numero di Utenti,13,1,1,Zona di Sicurezza,"16,2 m2",1,1,Altezza di Caduta Libera,67 cm,1,1,Altezza delle piattaforme,1176-1:2017,1,0,Altezza piattaforma scorrevole,30 kg,1,0,In conformità alla norma EN,255x8x8 cm,1,1,Peso della parte più pesante,74 kg,1,1,Dimensioni della parte più grande,1 ore,1,0,Materiale,"HPL, Legno Acacia",1,1,Tempo di installazione,7 ore,1,1

5628,simple,,SOLO 1721,1,1,visible,"La serie ROBINIA è un attrezzatura da gioco realizzata con materiale naturale - il legno di Robinia, proveniente dall'acacia, il legno più resistente trovato in Europa. Il legno è caratterizzato da colori naturali e vivaci, ha un'alta resistenza alle intemperie, non richiede impregnazione e può essere ancorato direttamente nel terreno.
\n
\nLa serie unica di Robinia è stata progettata in modo completo per consentire la creazione di un'offerta contenente tutti i tipi di attrezzature da gioco: dai set a torre con molti elementi da arrampicata, passando per cavalcabili a molla, giostrine e altalene, fino all'architettura di piccole dimensioni.
\n
\nI prodotti della serie in legno, arricchiti con scivoli, corrimano e scale in acciaio inossidabile, e elementi realizzati con lastre HPL in colori sobri, sono un'ottima estensione dell'offerta che consente la progettazione di un parco giochi naturale per bambini di tutte le età.","<strong>Specifiche dei materiali</strong>
\n<ul>
\n 	<li>Costruzione realizzata in Robinia - legno di acacia molto resistente con un diametro di circa 18 cm senza spigoli vivi, resistente alle condizioni atmosferiche,</li>
\n 	<li>Piattaforme realizzate in Robinia - legno di acacia molto resistente, resistente alle condizioni atmosferiche,</li>
\n 	<li>Pannelli trasparenti in policarbonato resistenti alle condizioni atmosferiche,</li>
\n 	<li>Pannelli laterali realizzati in Robinia - legno di acacia molto resistente senza spigoli vivi, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile,</li>
\n 	<li>Elementi colorati realizzati in resistente lamiera HPL, resistente alle condizioni atmosferiche,</li>
\n 	<li>Telescopio realizzato in acciaio inossidabile e resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>"" Telefono "" - struttura - tubo in acciaio inossidabile, fiori realizzati in lamiera HPL; installazione sotterranea in plastica,</li>
\n 	<li>Passaggio a doppia parete in tubo di polipropilene,</li>
\n 	<li>Catene calibrate in acciaio inossidabile, per prevenire il rischio di intrappolamento delle dita,</li>
\n 	<li>Corrimano in acciaio inossidabile,</li>
\n 	<li>Maniglie realizzate in corda d'acciaio con intreccio in polipropilene,</li>
\n 	<li>Viti coperte da tappi in plastica e/o viti in acciaio inossidabile,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata a parchi giochi pubblici;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo o fessura che possa rappresentare un pericolo di colpire la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondo 80/70/60 cm;</li>
\n 	<li>lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>il rendering è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Robinia",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/d8b4-17211s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/1721c1e1s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/1721c2e1s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/1721c3e1s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/1721c9e1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,349 cm,1,1,Larghezza,166 cm,1,1,Altezza Totale,206 cm,1,1,Età,1 - 8 years,1,1,Numero di Utenti,13,1,1,Zona di Sicurezza,"21,6 m2",1,1,Altezza di Caduta Libera,<60 cm,1,1,Altezza delle piattaforme,1176-1:2017,1,0,Altezza piattaforma scorrevole,30 kg,1,0,In conformità alla norma EN,255x8x8 cm,1,1,Peso della parte più pesante,74 kg,1,1,Dimensioni della parte più grande,1 ore,1,0,Materiale,"HPL, Legno Acacia",1,1,Tempo di installazione,7 ore,1,1

5634,simple,,SOLO 1722,1,1,visible,"La serie ROBINIA è un attrezzatura da gioco realizzata con materiale naturale - il legno di Robinia, proveniente dall'acacia, il legno più resistente trovato in Europa. Il legno è caratterizzato da colori naturali e vivaci, ha un'alta resistenza alle intemperie, non richiede impregnazione e può essere ancorato direttamente nel terreno.
\n
\nLa serie unica di Robinia è stata progettata in modo completo per consentire la creazione di un'offerta contenente tutti i tipi di attrezzature da gioco: dai set a torre con molti elementi da arrampicata, passando per cavalcabili a molla, giostrine e altalene, fino all'architettura di piccole dimensioni.
\n
\nI prodotti della serie in legno, arricchiti con scivoli, corrimano e scale in acciaio inossidabile, e elementi realizzati con lastre HPL in colori sobri, sono un'ottima estensione dell'offerta che consente la progettazione di un parco giochi naturale per bambini di tutte le età.","<strong>Specifiche dei materiali</strong>
\n<ul>
\n 	<li>Costruzione realizzata in Robinia - legno di acacia molto resistente con un diametro di circa 18 cm senza spigoli vivi, resistente alle condizioni atmosferiche,</li>
\n 	<li>Piattaforme realizzate in Robinia - legno di acacia molto resistente, resistente alle condizioni atmosferiche,</li>
\n 	<li>Pannelli trasparenti in policarbonato resistenti alle condizioni atmosferiche,</li>
\n 	<li>Pannelli laterali realizzati in Robinia - legno di acacia molto resistente senza spigoli vivi, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile,</li>
\n 	<li>Elementi colorati realizzati in resistente lamiera HPL, resistente alle condizioni atmosferiche,</li>
\n 	<li>Telescopio realizzato in acciaio inossidabile e resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>"" Telefono "" - struttura - tubo in acciaio inossidabile, fiori realizzati in lamiera HPL; installazione sotterranea in plastica,</li>
\n 	<li>Passaggio a doppia parete in tubo di polipropilene,</li>
\n 	<li>Catene calibrate in acciaio inossidabile, per prevenire il rischio di intrappolamento delle dita,</li>
\n 	<li>Corrimano in acciaio inossidabile,</li>
\n 	<li>Maniglie realizzate in corda d'acciaio con intreccio in polipropilene,</li>
\n 	<li>Viti coperte da tappi in plastica e/o viti in acciaio inossidabile,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata a parchi giochi pubblici;</li>
\n 	<li>l'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>nessun bordo o fessura che possa rappresentare un pericolo di colpire la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondo 80/70/60 cm;</li>
\n 	<li>lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>il rendering è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Robinia",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/a4b6-17221s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/7428-17222s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/1722c1e1s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/1722c2e1s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/1722c3e1s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/1722c9e1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,263 cm,1,1,Larghezza,112 cm,1,1,Altezza Totale,206 cm,1,1,Età,1 - 8 years,1,1,Numero di Utenti,13,1,1,Zona di Sicurezza,"20,2 m2",1,1,Altezza di Caduta Libera,<60 cm,1,1,Altezza delle piattaforme,1176-1:2017,1,0,Altezza piattaforma scorrevole,13 kg,1,0,In conformità alla norma EN,255x8x8 cm,1,1,Peso della parte più pesante,74 kg,1,1,Dimensioni della parte più grande,1 ore,1,0,Materiale,"HPL, Legno Acacia",1,1,Tempo di installazione,7 ore,1,1

5635,simple,,SOLO 0824,1,1,visible,"La serie ROBINIA è un attrezzatura da gioco realizzata con materiale naturale - il legno di Robinia, proveniente dall'acacia, il legno più resistente trovato in Europa. Il legno è caratterizzato da colori naturali e vivaci, ha un'alta resistenza alle intemperie, non richiede impregnazione e può essere ancorato direttamente nel terreno.
\n
\nLa serie unica di Robinia è stata progettata in modo completo per consentire la creazione di un'offerta contenente tutti i tipi di attrezzature da gioco: dai set a torre con molti elementi da arrampicata, passando per cavalcabili a molla, giostrine e altalene, fino all'architettura di piccole dimensioni.
\n
\nI prodotti della serie in legno, arricchiti con scivoli, corrimano e scale in acciaio inossidabile, e elementi realizzati con lastre HPL in colori sobri, sono un'ottima estensione dell'offerta che consente la progettazione di un parco giochi naturale per bambini di tutte le età.","<strong>Specifiche dei materiali</strong>
\n<ul>
\n 	<li>Costruzione realizzata in Robinia - legno di acacia molto resistente con un diametro di circa 18 cm senza spigoli vivi, resistente alle condizioni atmosferiche,</li>
\n 	<li>Piattaforme realizzate in Robinia - legno di acacia molto resistente, resistente alle condizioni atmosferiche,</li>
\n 	<li>Pannelli trasparenti in policarbonato resistenti alle condizioni atmosferiche,</li>
\n 	<li>Pannelli laterali realizzati in Robinia - legno di acacia molto resistente senza spigoli vivi, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile,</li>
\n 	<li>Elementi colorati realizzati in resistente lamiera HPL, resistente alle condizioni atmosferiche,</li>
\n 	<li>Telescopio realizzato in acciaio inossidabile e resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>"" Telefono "" - struttura - tubo in acciaio inossidabile, fiori realizzati in lamiera HPL; installazione sotterranea in plastica,</li>
